0:01:40 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:01:43 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:01:46 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:01:49 13/12/2072, Parametros:12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:10 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:14 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:17 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:20 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:23 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:26 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:29 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:32 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:36 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:39 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:42 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
0:06:45 13/12/2072, Parametros: in 30 60 12, Serial: 0, Painel12: 1, Rega: 0, HumSolo: 76, Exaustor: 1, Temperature: 30/30°C, Humidity: 34/60%,
